title,institute,order,profile
"Tecnólogo, Gestão Comercial",Jobs in São Paulo,1,profile_1
"Graduação , Engenharia Civil",Universidade Federal Rural do Semi-Árido,2,profile_1
Master of Science ,Technical University of Munich,1,profile_10
Bachelor of Engineering ,Istanbul Technical University,2,profile_10
Mathematics And Natural Sciences,Izmir 60. Yil Anadolu Lisesi,3,profile_10
"Master of Science - Ms, Computer Science",EPFL ,1,profile_100
"Master of Science - Ms, Information Systems",Technical University of Munich,2,profile_100
"Bachelor of Science - Bs, Information Systems",Technical University of Munich,3,profile_100
Master of Science ,Kiel University,1,profile_101
Bachelor of Science ,Kwame Nkrumah',2,profile_101
"Master's Degree, Mathematical Modelling,Simulation And Optimization",University of Koblenz and Landau,1,profile_102
"Bachelor's Degree, Computer Science",sardar patel institute of technology,2,profile_102
Higher Secondary,Smt.M.M. Mehta English Medium School,3,profile_102
,KTH Royal Institute of Technology,1,profile_103
"Data-Scientist Nanodegree , Data Scienc",Udacity,2,profile_103
Master of Science ,Leopold-Franzens Universität Innsbruck,1,profile_104
Bachelor of Science ,Mälardalen University,2,profile_104
Bachelor of Science ,Leopold-Franzens Universität Innsbruck,3,profile_104
"Master's Degree, Data Science",Universidad de Granada,1,profile_105
Ibero-American Santander Scholarship,Universidade de Coimbra,2,profile_105
"Bachelor's Degree, Engineering",Edinburgh Napier University,3,profile_105
"M.Sc., Bioinformatics",Ludwig-Maximilians-Universität München,1,profile_106
Master of Science ,Technical University of Munich,2,profile_106
"Master's Degree, Cogntive Neuroscience",Ecole normale supérieure,1,profile_107
"Data Science Specialisation, Data Science",The Johns Hopkins University,2,profile_107
"Ph.D., Applied Statistics; Quantitative Marketing Analysis",University of Maryland,1,profile_108
"M.S, Applied	  Statistics; Applied	  Mathematics	  &	  Statistics,	  And	  Scientific	  Computation",University of Maryland,2,profile_108
"M.S., Animal Sciences",University of Maryland,3,profile_108
"Dipl.-Ing., Elektro- Und Informationstechnik",Karlsruhe Institute of Technology ,1,profile_109
Computer Science,Coursera.org,2,profile_109
Computer Science,Udacity,3,profile_109
Master of Science ,Ludwig-Maximilians-Universität München,1,profile_11
Master of Science ,Technical University of Munich,2,profile_11
Bachelor of Science ,Technical University of Munich,3,profile_11
"Master of Science - Ms, Wirtschaftsinformatik",FernUniversität in Hagen,1,profile_110
"Bachelor of Science - Bs, Betriebswirtschaftslehre Schwerpunkt Banking & Finance",Otto-Friedrich-Universität Bamberg,2,profile_110
International Management,Swarthmore College,3,profile_110
"Doctor of Philosophy - Phd, Statistics",Ludwig-Maximilians-Universität München,1,profile_111
Bs ,Freie Universität Berlin,2,profile_111
Architecture,Technische Universität Berlin,3,profile_111
Master of Science ,Technical University of Munich,1,profile_112
Electrical & Computer Engineering,University of Illinois Urbana-Champaign,2,profile_112
Bachelor of Science ,Technical University of Munich,3,profile_112
"Dr. Sc. Techn., Computer Science",ETH Zürich,1,profile_113
Master of Business Administration ,"University of Liverpool, Laureate Online Education",2,profile_113
"Dipl. Inform., Computer Science",Universität zu Lübeck,3,profile_113
"Master of Science - Ms, Data Science",Luleå University of Technology,1,profile_114
Statistics And Machine Learning,Linköping University,2,profile_114
"Bachelor of Science - Bs, Statistik",Ludwig-Maximilians-Universität München,3,profile_114
"Bootcamp, Data Science",Le Wagon,1,profile_115
"Master's Degree, Sociology",Université Paris-Sorbonne,2,profile_115
"French Teaching Assistant, Economics, Political Science",William Jewell College,3,profile_115
"Master's Degree, Biostatistics",Ludwig-Maximilians-Universität München,1,profile_116
Statistics,San Diego State University,2,profile_116
Bachelor of Science ,Ludwig-Maximilians-Universität München,3,profile_116
"Bachelor of Science - Bs, Wirtschaftsinformatik",Baden-Wuerttemberg Cooperative State University ,1,profile_117
"Abitur, Schüler",Vicco von Buelow Gymnasium,2,profile_117
"Sommeruniversität , Android-App.Programmieren",Freie Universität Berlin,3,profile_117
"Bachelor's Degree, Business Administration And Management, General",Kadir Has University,1,profile_118
"Bachelor's Degree, Management Information Systems, General",Kadir Has University,2,profile_118
"Business Administration And Management, General",VILNIUS TECH - Vilnius Gediminas Technical University,3,profile_118
"Master of Science - Ms, Sustainable Energy Supply",RWTH Aachen University,1,profile_119
"Bachelor of Engineering - Be, Building Services And Energy Technology",Berlin University of Applied Sciences Berlin ,2,profile_119
"Bachelor of Engineering - Be, Energy And Building Technology",Tongji University,3,profile_119
Master of Information Systems Management ,Carnegie Mellon University - Heinz College of Information Systems and Public Policy,1,profile_12
Bachelor of Arts In English Literature ,Occidental College,2,profile_12
"Master of Science, Economics",Ludwig-Maximilians-Universität München,1,profile_120
"Master of Science, Economics",Københavns Universitet - University of Copenhagen,2,profile_120
"Bachelor of Science, Economics",Ludwig-Maximilians-Universität München,3,profile_120
Master of Science ,Technical University of Munich,1,profile_121
"Nanodegree, Computer Vision",Udacity,2,profile_121
Bachelor of Science ,University of Augsburg,3,profile_121
"Faculty, Economics And Political Science ",Cairo University,1,profile_122
"Master of Science - Ms, Clinical, Neuro- And Rehabilitationpsychology",The University of Freiburg,1,profile_123
"Bachelor of Science - Bs, Psychology",The University of Freiburg,2,profile_123
"Bachelor of Science - Bs, Mathematics",The University of Freiburg,3,profile_123
,Google Analytics Certificate,1,profile_124
"Bachelor, Finance",University of Nottingham,2,profile_124
"Licenciado En Administración Y Dirección De Empresas, Finanzas",Universidad de Zaragoza,3,profile_124
Bachelor of Science ,Ludwig-Maximilians-Universität München,1,profile_125
"Doctor of Philosophy - Phd, Statistics",Tilburg University,1,profile_126
"Master of Science - Ms, Mathematical Finance And Actuarial Science",Technical University of Munich,2,profile_126
"Bachelor of Science - Bs, Mathematics",Technical University of Munich,3,profile_126
Doctor of Philosophy ,RWTH Aachen University,1,profile_127
Master of Science ,RWTH Aachen University,2,profile_127
Bachelor of Engineering ,Kasetsart University,3,profile_127
"Master of Science - Ms, Environmental Systems And Sustainability",Ludwig-Maximilians-Universität München,1,profile_128
"Bachelor of Science - Bs, Geography",University of Augsburg,2,profile_128
"Master of Business Administration - Mba, Controlling & Finance",University of Regensburg,1,profile_129
"Master, Wirtschaftswissenschaften",EBS Universität für Wirtschaft und Recht,2,profile_129
"Master of Science - Ms, Wirtschaftswissenschaften",Peking University HSBC Business School,3,profile_129
Bachelor of Science ,Karlsruhe University of Applied  Sciences,1,profile_13
"Master of Science - Ms, Data Science & Intelligent Analytics",FH Kufstein Tirol ,2,profile_13
"Engineer's Degree, Computer And Information Systems Security/Information Assurance",National Research Nuclear University MEPhI ,1,profile_130
"Master's Degree, Consumer Affairs/Consumer Science",Technical University of Munich,2,profile_130
"Master of Science - Ms, Biomedical/Medical Engineering And Signal Processing",Hochschule Mannheim,1,profile_131
Master of Engineering ,ESIGELEC Rouen,2,profile_131
"Master of Science - Ms, Data Science",Universität Trier,1,profile_132
"Bachelor of Engineering - Be, Electronics And Communication Engineering","Priyadarshini Institute of Engineering and Technology, CRPF Camp",2,profile_132
Higher Secondary,"Lady Keane College, India",3,profile_132
