title,institute,order,profile
,LinkedIn,1,profile_13.html
,LinkedIn,2,profile_13.html
,LinkedIn,1,profile_3.html
,LinkedIn,1,profile_25.html
,LinkedIn,2,profile_25.html
,Microsoft,1,profile_24.html
,Boston Consulting Group ,1,profile_12.html
,Project Management Institute,2,profile_12.html
,"Saïd Business School, University of Oxford",1,profile_28.html
,Cyber Insurance Academy,2,profile_28.html
,,1,profile_15.html
,LinkedIn,1,profile_14.html
,LinkedIn,2,profile_14.html
,OAB/RJ,1,profile_4.html
,AXELOS Global Best Practice,1,profile_22.html
,AXELOS Global Best Practice,2,profile_22.html
,DataCamp,1,profile_16.html
,DataCamp,2,profile_16.html
,LinkedIn,1,profile_20.html
,Global Association of Risk Professionals ,1,profile_11.html
,"Scaled Agile, Inc.",2,profile_11.html
,Coursera,1,profile_26.html
,LinkedIn,2,profile_26.html
