title,institute,order,profile
"Dr. rer. pol., Business Administration",,1,profile_29.html
"Diplom-Kaufmann, Business Administration",,2,profile_29.html
Doctor of Philosophy ,,1,profile_13.html
"Master’s Degree, Physics and Astronomy",,2,profile_13.html
"MA, Insurance",,1,profile_3.html
Postgraduate Diploma in Management,,1,profile_25.html
Degree in Actuarial Science,,2,profile_25.html
Direct Marketing Program,,1,profile_24.html
"Bachelor, Math",,2,profile_24.html
Leadership Program,,1,profile_12.html
"Executive MBA, Corporate Strategy",,2,profile_12.html
"Postgraduate Diploma, Strategy &amp; Leadership",,1,profile_2.html
Master of Business Administration - MBA,,2,profile_2.html
"PhD, Civil and Environmental Engineering",,1,profile_28.html
"MSE, Applied Economics for public decision making",,2,profile_28.html
Economics,,1,profile_23.html
"Master’s Degree, Information Engineering and Management",,1,profile_9.html
"Database Systems, Supply Chain Management, E-Business",,2,profile_9.html
"MS, Risk Management and Insurance",,1,profile_19.html
"MBA, Finance and Information Systems",,2,profile_19.html
"Executive Certification, Harvard Business Analytics Program",,1,profile_15.html
"Ph.D., Structural Engineering",,2,profile_15.html
"Master's degree, Applied Mathematics",,1,profile_5.html
,,2,profile_5.html
"Master's degree, Computer Science",,1,profile_14.html
"Bachelor’s Degree, Information Technology",,2,profile_14.html
"Master's Degree, Law",,1,profile_4.html
"Master's Degree, Law",,2,profile_4.html
Master of Engineering ,,1,profile_8.html
"Diplom, Wirtschaftswissenschaften",,1,profile_18.html
"Bachelor's degree, Cybernetics, Statistics and Economic Informatics",,1,profile_22.html
"High School,Mathematics - Informatics",,2,profile_22.html
Rechtswissenschaften,,1,profile_21.html
Dr. rer. nat. ,,1,profile_17.html
Dipl.-Math. ,,2,profile_17.html
"Bachelor’s Degree, Language Interpretation and Translation",,1,profile_7.html
"Bachelor’s Degree, Language Interpretation and Translation",,2,profile_7.html
"Master's degree, Power Engineering ",,1,profile_16.html
"Bachelor's degree, Mechanical Engineering",,2,profile_16.html
,,1,profile_6.html
,,2,profile_6.html
Bachelor of Commerce ,,1,profile_20.html
,,2,profile_20.html
"Dr. rer. nat., Mathematics",,1,profile_11.html
"Diplom-Finanz- und Wirtschaftsmathematiker Univ., Statistics, Finance",,2,profile_11.html
"Masters in Data and Knowledge Engineering, Data Science",,1,profile_1.html
Bachelor of Engineering ,,2,profile_1.html
"Dr. rer. nat., Physics ",,1,profile_27.html
Master of Science ,,2,profile_27.html
"FIA, Actuarial Science",,1,profile_30.html
Master of Science ,,2,profile_30.html
"Grado en Física, Física",,1,profile_26.html
Diplom ,,1,profile_10.html
"Bachelor of Applied Science - BASc, Rechnungswesen und Business/Management",,2,profile_10.html
