profile,designation
profile_29.html,Global Head of Portfolio and Accumulation Steering - Allianz Global Corporate & Specialty (AGCS)
profile_13.html,Head of Portfolio Information at Allianz Global Corporate & Specialty (AGCS)
profile_3.html,Strategic Transformation Executive @ Allianz Commercial (Allianz Global Corporate & Specialty SE) | Driving Business Growth
profile_25.html,Head of Data & Analytics at Allianz Spain
profile_24.html,Chief Data and Analytics Officer - Executive Director of Data Office na Allianz Brasil
profile_12.html,"Founder AI company, Ex-BMW, Ex-Northvolt"
profile_2.html,Executive at Allianz Commercial
profile_28.html,Head of Global Cyber Analytics at Allianz Cyber Center of Competence
profile_23.html,Chief Data & Analytics Officer
profile_9.html,Chief Information Officer (CIO) at Allianz Global Corporate & Specialty (AGCS) | Allianz Commercial
profile_19.html,Head of Global Claims Portfolio Steering at Allianz Global Corporate & Specialty (AGCS)
profile_15.html,Global Head of P&C Solutions | Swiss Re
profile_5.html,Business Analyst
profile_14.html,"Data Science & Engineering professional with 6 years of experience with databases, NLP,  webscraping, deep learning & ML"
profile_4.html,Head of Global Practice Group Professional Indemnity Claims at Allianz Global Corporate & Specialty (AGCS)
profile_8.html,Senior Finance Transformation Manager at Allianz Commercial
profile_18.html,Head of Claims Performance Monitoring bei Allianz Global Corporate & Specialty (AGCS)
profile_22.html,Head of Business Analytics and Product Manager - Allianz Services
profile_21.html,Global Head of Claims Systems & Processes bei Allianz Global Corporate & Specialty (AGCS)
profile_17.html,Head of Claims Reporting & Analytics at Allianz Global Corporate & Specialty (AGCS)
profile_7.html,Global Environmental Manager
profile_16.html,Senior Data Engineer / Business Analyst at Allianz
profile_6.html,Global Head of Cyber | Portfolio Strategy Propositions & Execution | Global Multi Line Underwriting Leadership | Strategic Analysis | D&I Advocate
profile_20.html,Principal Product Owner ITMP at Allianz Global Corporate & Specialty (AGCS)
profile_11.html,Head of Advanced Analytics bei Allianz Commercial
profile_1.html,Accumulation Data Engineer | Time series Enthusiast | Forecasting | Storytelling | Machine Learning| Data Analysis | Anomaly Detection
profile_27.html,Head of Global Portfolio Steering & Pricing at Allianz Commercial
profile_30.html,Head of Global Actuarial Analysis at AGCS
profile_26.html,Head of Advanced Analytics Solutions
profile_10.html,"Product Manager, Underwriting"
